OMRÅDE;ALDER;TID;CIVILSTAND;INDHOLD
Region Syddanmark;27 år;2019K1;Ugift;11719
Region Syddanmark;27 år;2019K1;Gift/separeret;2311
Region Syddanmark;27 år;2019K1;Enke/enkemand;3
Region Syddanmark;77 år;2008K1;Ugift;366
Region Syddanmark;77 år;2008K1;Gift/separeret;3883
Region Syddanmark;77 år;2008K1;Enke/enkemand;2649
Region Syddanmark;77 år;2009K2;Ugift;331
Region Syddanmark;77 år;2009K2;Gift/separeret;3925
Region Syddanmark;77 år;2009K2;Enke/enkemand;2553
Region Syddanmark;77 år;2010K1;Ugift;362
Region Syddanmark;77 år;2010K1;Gift/separeret;4057
Region Syddanmark;77 år;2010K1;Enke/enkemand;2606
Region Syddanmark;77 år;2013K4;Ugift;339
Region Syddanmark;77 år;2013K4;Gift/separeret;4769
Region Syddanmark;77 år;2013K4;Enke/enkemand;2453
Region Syddanmark;77 år;2014K4;Ugift;323
Region Syddanmark;77 år;2014K4;Gift/separeret;5045
Region Syddanmark;77 år;2014K4;Enke/enkemand;2444
Region Syddanmark;77 år;2019K1;Ugift;365
Region Syddanmark;77 år;2019K1;Gift/separeret;6080
Region Syddanmark;77 år;2019K1;Enke/enkemand;2441
Region Syddanmark;25 år;2008K1;Ugift;10014
Region Syddanmark;25 år;2008K1;Gift/separeret;1290
Region Syddanmark;25 år;2008K1;Enke/enkemand;4
Region Syddanmark;25 år;2009K2;Ugift;10115
Region Syddanmark;25 år;2009K2;Gift/separeret;1228
Region Syddanmark;25 år;2009K2;Enke/enkemand;3
Region Syddanmark;25 år;2010K1;Ugift;10269
Region Syddanmark;25 år;2010K1;Gift/separeret;1322
Region Syddanmark;25 år;2010K1;Enke/enkemand;1
Region Syddanmark;25 år;2013K4;Ugift;11266
Region Syddanmark;25 år;2013K4;Gift/separeret;1218
Region Syddanmark;25 år;2013K4;Enke/enkemand;2
Region Syddanmark;25 år;2014K4;Ugift;11805
Region Syddanmark;25 år;2014K4;Gift/separeret;1227
Region Syddanmark;25 år;2014K4;Enke/enkemand;1
Region Syddanmark;25 år;2019K1;Ugift;13385
Region Syddanmark;25 år;2019K1;Gift/separeret;1238
Region Syddanmark;25 år;2019K1;Enke/enkemand;3
Region Syddanmark;33 år;2008K1;Ugift;6284
Region Syddanmark;33 år;2008K1;Gift/separeret;7775
Region Syddanmark;33 år;2008K1;Enke/enkemand;12
Region Syddanmark;33 år;2009K2;Ugift;6586
Region Syddanmark;33 år;2009K2;Gift/separeret;7837
Region Syddanmark;33 år;2009K2;Enke/enkemand;18
Region Syddanmark;33 år;2010K1;Ugift;6118
Region Syddanmark;33 år;2010K1;Gift/separeret;7470
Region Syddanmark;33 år;2010K1;Enke/enkemand;21
Region Syddanmark;33 år;2013K4;Ugift;6096
Region Syddanmark;33 år;2013K4;Gift/separeret;6313
Region Syddanmark;33 år;2013K4;Enke/enkemand;17
Region Syddanmark;33 år;2014K4;Ugift;5874
Region Syddanmark;33 år;2014K4;Gift/separeret;5681
Region Syddanmark;33 år;2014K4;Enke/enkemand;16
Region Syddanmark;33 år;2019K1;Ugift;6542
Region Syddanmark;33 år;2019K1;Gift/separeret;5538
Region Syddanmark;33 år;2019K1;Enke/enkemand;12
